id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2_2,url + code
rec9uwNlVgDo6xvZR,K_K210_PE_4100,K210,PE,KRZEMIEŃ CZARNY,https://qr-codes-page.vercel.app/product/rec9uwNlVgDo6xvZR,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,"PLN 542,23","PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/rec9uwNlVgDo6xvZR, K_K210_PE_4100"
recTPY9Vw0cOKxfKD,K_K213_RS_4100,K213,RS,TIVOLI CIEMNE,https://qr-codes-page.vercel.app/product/recTPY9Vw0cOKxfKD,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,"PLN 542,23","PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recTPY9Vw0cOKxfKD, K_K213_RS_4100"
rece5oHRnzGcLwJgo,K_K214_RS_4100,K214,RS,TIVOLI JASNE,https://qr-codes-page.vercel.app/product/rece5oHRnzGcLwJgo,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,"PLN 542,23","PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/rece5oHRnzGcLwJgo, K_K214_RS_4100"
recQE1gYE6eZDMi5V,K_K367_PH_4100,K367,PH,NAVONA KREMOWA ,https://qr-codes-page.vercel.app/product/recQE1gYE6eZDMi5V,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recQE1gYE6eZDMi5V, K_K367_PH_4100"
recCMEMEtVgwWqDiV,K_K368_PH_4100,K368,PH,MARMUR ATLANTYCKI SZARY ,https://qr-codes-page.vercel.app/product/recCMEMEtVgwWqDiV,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recCMEMEtVgwWqDiV, K_K368_PH_4100"
recb4ZR6An9N3mDCT,K_K369_PH_4100,K369,PH,MGŁAWICA NEBULA ,https://qr-codes-page.vercel.app/product/recb4ZR6An9N3mDCT,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recb4ZR6An9N3mDCT, K_K369_PH_4100"
recLhwhNKHNLvzUif,K_K529_RW _4100,K529,RW ,DĄB HUDSON ZŁOTY,https://qr-codes-page.vercel.app/product/recLhwhNKHNLvzUif,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recLhwhNKHNLvzUif, K_K529_RW _4100"
recLcB9usivIzL8Vm,K_K698_PN_4100,K698,PN,CIEMNY BRĄZ,https://qr-codes-page.vercel.app/product/recLcB9usivIzL8Vm,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recLcB9usivIzL8Vm, K_K698_PN_4100"
recIk5HyEsRw4KfoP,K_K699_PN_4100,K699,PN,CALACATTA AMBROSIO,https://qr-codes-page.vercel.app/product/recIk5HyEsRw4KfoP,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recIk5HyEsRw4KfoP, K_K699_PN_4100"
rec93tVwJxXwyuyOo,K_K703_PN_4100,K703,PN,PORTOBELLO ELEGANTE,https://qr-codes-page.vercel.app/product/rec93tVwJxXwyuyOo,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/rec93tVwJxXwyuyOo, K_K703_PN_4100"
recaAhOTRe8YYpEvR,K_K704_PN_4100,K704,PN,PERLINO SABBIA,https://qr-codes-page.vercel.app/product/recaAhOTRe8YYpEvR,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recaAhOTRe8YYpEvR, K_K704_PN_4100"
recamRsjyFQv6BU4u,K_K705_PN_4100,K705,PN,STONEHAVEN SAND,https://qr-codes-page.vercel.app/product/recamRsjyFQv6BU4u,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recamRsjyFQv6BU4u, K_K705_PN_4100"
rect269psycCvpg0y,K_K023_SQ_4100,K023,SQ,VENATO,https://qr-codes-page.vercel.app/product/rect269psycCvpg0y,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 363,67",,,,,,,,,,"https://qr-codes-page.vercel.app/product/rect269psycCvpg0y, K_K023_SQ_4100"
recoS6ZR1PWI79oSV,K_K217_GG_4100,K217,GG,ANDROMEDA BIAŁA,https://qr-codes-page.vercel.app/product/recoS6ZR1PWI79oSV,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 399,63",,,,"PLN 839,73",,,,,,"https://qr-codes-page.vercel.app/product/recoS6ZR1PWI79oSV, K_K217_GG_4100"
recC5vXRzovs2lyQ3,K_K218_GG_4100,K218,GG,ANDROMEDA CZARNA,https://qr-codes-page.vercel.app/product/recC5vXRzovs2lyQ3,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 399,63",,,,"PLN 839,73",,,,,,"https://qr-codes-page.vercel.app/product/recC5vXRzovs2lyQ3, K_K218_GG_4100"
