id,code,decor,structure,name,url,price,category,sellUnit,Label,height,width,description,isNew,worktop,thickness,producer,url + code
rechp7iMbenJUOCm3,K544_RW_2800x2070_18,K544,RW,DĄB SILVERJACK ORZECHOWY ,https://azmproducts.plasmic.run/product/rechp7iMbenJUOCm3,"PLN 289,95",Płyta,PÓŁ,,2800,2070,Płyta laminowana,,SE K544 RW,18,Kronospan,"https://azmproducts.plasmic.run/product/rechp7iMbenJUOCm3, K544_RW_2800x2070_18"
reckX2jD3Qz0goyOb,K545_RW_2800x2070_18,K545,RW,DĄB SILVERJACK POSTARZANY ,https://azmproducts.plasmic.run/product/reckX2jD3Qz0goyOb,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K545 RW,18,Kronospan,"https://azmproducts.plasmic.run/product/reckX2jD3Qz0goyOb, K545_RW_2800x2070_18"
recP4nvniOTnUCkq3,K546_RW_2800x2070_18,K546,RW,ORZECH FRANKLIN KARMELOWY ,https://azmproducts.plasmic.run/product/recP4nvniOTnUCkq3,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recP4nvniOTnUCkq3, K546_RW_2800x2070_18"
recHbVaBNAhgWFF03,K547_RW_2800x2070_18,K547,RW,ORZECH FRANKLIN TOBACCO ,https://azmproducts.plasmic.run/product/recHbVaBNAhgWFF03,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recHbVaBNAhgWFF03, K547_RW_2800x2070_18"
rec4djV1jWkue5mCV,K548_RW_2800x2070_18,K548,RW,JESION KALA DYMIONY ,https://azmproducts.plasmic.run/product/rec4djV1jWkue5mCV,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/rec4djV1jWkue5mCV, K548_RW_2800x2070_18"
recBk4zWUoRQJsN4a,K349_RT_2800x2070_18,K349,RT,BETON JASNY,https://azmproducts.plasmic.run/product/recBk4zWUoRQJsN4a,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K349 RT,18,Kronospan,"https://azmproducts.plasmic.run/product/recBk4zWUoRQJsN4a, K349_RT_2800x2070_18"
recKw7gC3APWG5uKx,K350_RT_2800x2070_18,K350,RT,BETON ,https://azmproducts.plasmic.run/product/recKw7gC3APWG5uKx,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K350 RT,18,Kronospan,"https://azmproducts.plasmic.run/product/recKw7gC3APWG5uKx, K350_RT_2800x2070_18"
recWIc7TGj7hFsXEM,K351_RT_2800x2070_18,K351,RT,BETON RDZAWY ,https://azmproducts.plasmic.run/product/recWIc7TGj7hFsXEM,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K351 RT,18,Kronospan,"https://azmproducts.plasmic.run/product/recWIc7TGj7hFsXEM, K351_RT_2800x2070_18"
recfm9Haq9WpigSr9,K352_RT_2800x2070_18,K352,RT,BETON CIEMNY ,https://azmproducts.plasmic.run/product/recfm9Haq9WpigSr9,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K352 RT,18,Kronospan,"https://azmproducts.plasmic.run/product/recfm9Haq9WpigSr9, K352_RT_2800x2070_18"
recIvlu3ujkolrgEN,K353_RT_2800x2070_18,K353,RT,BETON CZARNY ,https://azmproducts.plasmic.run/product/recIvlu3ujkolrgEN,"PLN 331,41",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K353 RT,18,Kronospan,"https://azmproducts.plasmic.run/product/recIvlu3ujkolrgEN, K353_RT_2800x2070_18"
